2025-01-29 13:19:22,917 Tello instance was initialized. Host: '192.168.10.1'. Port: '8889'.
2025-01-29 13:19:23,078 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:23,095 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:23,128 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:23,161 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:23,195 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:23,228 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:23,261 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:23,296 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:23,329 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:23,365 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:23,398 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:23,434 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:23,474 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:23,508 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:23,545 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:23,582 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:23,620 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:23,652 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:23,707 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:23,739 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:23,772 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:23,814 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:23,849 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:23,882 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:23,917 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:23,951 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:23,986 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:24,019 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:24,076 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:24,115 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:24,148 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:24,182 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:24,229 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:24,287 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:24,321 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:24,354 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:24,388 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:24,422 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:24,458 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:24,497 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:24,530 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:24,562 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:24,596 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:24,634 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:24,673 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:24,707 drone taking off
2025-01-29 13:19:24,708 battery: 85
2025-01-29 13:19:30,253 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-01-29 13:19:30,277 Sending RC control: lr=0, fb=0, ud=0, yaw=-100
2025-01-29 13:19:30,310 Sending RC control: lr=0, fb=0, ud=0, yaw=-100
2025-01-29 13:19:30,343 Sending RC control: lr=0, fb=0, ud=0, yaw=-100
2025-01-29 13:19:30,378 Sending RC control: lr=0, fb=0, ud=0, yaw=-100
2025-01-29 13:19:30,411 Sending RC control: lr=0, fb=0, ud=0, yaw=-100
2025-01-29 13:19:30,445 Sending RC control: lr=0, fb=0, ud=0, yaw=-100
2025-01-29 13:19:30,478 Sending RC control: lr=0, fb=0, ud=0, yaw=-100
2025-01-29 13:19:30,513 Sending RC control: lr=0, fb=0, ud=0, yaw=-100
2025-01-29 13:19:30,547 Sending RC control: lr=0, fb=0, ud=0, yaw=-100
2025-01-29 13:19:30,580 Sending RC control: lr=0, fb=0, ud=0, yaw=-100
2025-01-29 13:19:30,614 Sending RC control: lr=0, fb=0, ud=0, yaw=-100
2025-01-29 13:19:30,648 Sending RC control: lr=0, fb=0, ud=0, yaw=-100
2025-01-29 13:19:30,683 Sending RC control: lr=0, fb=0, ud=0, yaw=-100
2025-01-29 13:19:30,716 Sending RC control: lr=0, fb=0, ud=0, yaw=-100
2025-01-29 13:19:30,759 Sending RC control: lr=0, fb=0, ud=0, yaw=-100
