2025-02-19 12:45:14,490 Tello instance was initialized. Host: '192.168.10.1'. Port: '8889'.
2025-02-19 12:45:21,499 Aborting command 'command'. Did not receive a response after 7 seconds
2025-02-19 12:45:28,595 Aborting command 'command'. Did not receive a response after 7 seconds
2025-02-19 12:45:56,465 Tello instance was initialized. Host: '192.168.10.1'. Port: '8889'.
2025-02-19 12:45:56,567 'utf-8' codec can't decode byte 0xcc in position 0: invalid continuation byte
2025-02-19 12:45:56,665 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:56,709 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:56,743 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:56,778 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:56,811 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:56,844 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:56,877 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:56,911 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:56,945 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:56,991 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:57,024 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:57,058 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:57,091 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:57,125 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:57,165 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:57,198 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:57,233 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:57,267 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:57,301 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:57,335 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:57,372 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:57,405 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:57,439 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:57,473 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:57,506 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:57,540 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:57,573 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:57,607 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:57,641 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:57,675 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:57,709 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:57,754 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:57,791 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:57,824 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:57,858 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:57,900 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:57,968 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 12:45:58,002 Sending RC control: lr=0, fb=0, ud=0, yaw=0
