2025-02-19 13:04:35,593 Tello instance was initialized. Host: '192.168.10.1'. Port: '8889'.
2025-02-19 13:04:35,696 'utf-8' codec can't decode byte 0xcc in position 0: invalid continuation byte
2025-02-19 13:04:35,753 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:35,816 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:35,850 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:35,889 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:35,926 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:35,961 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:35,995 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:36,028 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:36,064 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:36,096 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:36,130 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:36,164 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:36,198 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:36,231 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:36,266 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:36,299 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:36,333 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:36,367 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:36,401 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:36,435 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:36,469 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:36,503 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:36,536 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:36,570 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:36,617 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:36,651 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:36,685 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:36,718 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:36,759 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:36,813 drone taking off
2025-02-19 13:04:36,814 battery: 74
2025-02-19 13:04:36,814 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:36,847 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:36,883 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:36,927 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:36,959 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:36,993 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:37,037 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:37,076 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:37,110 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:37,143 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:37,218 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:37,260 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:37,294 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:37,329 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:37,366 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:37,403 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:37,437 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:37,471 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:37,505 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:37,539 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:37,574 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:37,607 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:37,641 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:37,674 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:37,708 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:37,741 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:37,776 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:37,813 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:37,847 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:37,882 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:37,915 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:37,949 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:37,983 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:38,020 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:38,053 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:38,086 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:38,121 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:38,153 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:38,187 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:38,220 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:38,254 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:38,288 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:38,321 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:38,357 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:38,392 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:38,426 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:38,469 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:38,504 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:38,536 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:38,571 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:38,604 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:38,639 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:38,674 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:38,709 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:38,743 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:38,775 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:38,809 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:38,843 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:38,877 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:38,911 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:38,945 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:38,978 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:39,012 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:39,047 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:39,081 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:39,114 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:39,149 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:39,182 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:39,215 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:39,250 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:39,283 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:39,317 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:39,354 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:39,389 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:39,422 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:39,455 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:39,489 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:39,522 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:39,556 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:39,593 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:39,624 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:39,658 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:39,693 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:39,726 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:39,760 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:39,800 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:39,834 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-19 13:04:39,880 Sending RC control: lr=0, fb=0, ud=0, yaw=0
