2025-02-21 14:00:22,470 Tello instance was initialized. Host: '192.168.10.1'. Port: '8889'.
2025-02-21 14:00:29,563 Aborting command 'command'. Did not receive a response after 7 seconds
2025-02-21 14:00:32,136 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:35,186 Tello instance was initialized. Host: '192.168.10.1'. Port: '8889'.
2025-02-21 14:00:35,300 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:35,346 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:35,391 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:35,424 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:35,458 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:35,492 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:35,524 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:35,559 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:35,593 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:35,629 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:35,697 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:35,734 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:35,768 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:35,812 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:35,845 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:35,878 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:35,912 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:35,951 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:36,000 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:36,045 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:36,079 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:36,113 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:36,150 Sending RC control: lr=0, fb=0, ud=0, yaw=0
2025-02-21 14:00:36,191 Sending RC control: lr=0, fb=0, ud=0, yaw=0
