split_id,split_name,split_abbreviation,category_name,category_displayName,stat_name,stat_displayName,stat_abbreviation,stat_value,stat_displayValue,stat_perGameValue,stat_perGameDisplayValue,stat_rank,stat_rankDisplayValue
0,All Splits,Any,general,General,fumbles,Fumbles,FUM,21,21,1,1,14,Tied-14th
0,All Splits,Any,general,General,fumblesLost,Fumbles Lost,LST,6,6,,,25,Tied-25th
0,All Splits,Any,general,General,fumblesForced,Forced Fumbles,FF,8,8,,,20,20th
0,All Splits,Any,general,General,fumblesRecovered,Fumbles Recovered,FR,6,6,1,1,27,Tied-27th
0,All Splits,Any,general,General,fumblesTouchdowns,Fumbles Touchdowns,FTD,1,1,,,4,Tied-4th
0,All Splits,Any,general,General,gamesPlayed,Games Played,GP,17,17,,,1,Tied-1st
0,All Splits,Any,general,General,offensiveTwoPtReturns,Two Point Returns,2PTR,0,0,,,1,Tied-1st
0,All Splits,Any,general,General,offensiveFumblesTouchdowns,Fumbles Touchdowns,OFTD,0,0,,,2,Tied-2nd
0,All Splits,Any,general,General,defensiveFumblesTouchdowns,Fumbles Touchdowns,DFTD,1,1,,,4,Tied-4th
0,All Splits,Any,passing,Passing,avgGain,Average Gain,AG,536.94,536.9,,,18,18th
0,All Splits,Any,passing,Passing,completionPct,Completion Percentage,CMP%,63.964,64.0,64.28500366210938,64.285,20,20th
0,All Splits,Any,passing,Passing,completions,Completions,CMP,355,355,20,20,19,Tied-19th
0,All Splits,Any,passing,Passing,ESPNQBRating,ESPN Quarterback Rating,EQBR,4330,4330.0,,,25,25th
0,All Splits,Any,passing,Passing,interceptionPct,Interception Percentage,INT%,2.162,2.16,2.2890000343322754,2.289,14,14th
0,All Splits,Any,passing,Passing,interceptions,Interceptions,INT,12,12,,,13,Tied-13th
0,All Splits,Any,passing,Passing,longPassing,Longest Pass,LNG,69,69,33,33,20,20th
0,All Splits,Any,passing,Passing,miscYards,Miscellaneous Yards,MISC,0,0,,,1,Tied-1st
0,All Splits,Any,passing,Passing,netPassingYards,Net Passing Yards,NYDS,3144,"3,144",184,184,26,26th
0,All Splits,Any,passing,Passing,netPassingYardsPerGame,Net Passing Yards Per Game,NYDS/G,184.94118,184.9,,,26,26th
0,All Splits,Any,passing,Passing,netTotalYards,Net Total Yards,NTYDS,5509,"5,509",323,323,19,19th
0,All Splits,Any,passing,Passing,netYardsPerGame,Net Yards Per Game,NTYDS/G,324.05884,324.1,,,19,19th
0,All Splits,Any,passing,Passing,passingAttempts,Passing Attempts,ATT,555,555,32,32,24,24th
0,All Splits,Any,passing,Passing,passingBigPlays,Passing Big Plays,BIGP,38,38,,,28,28th
0,All Splits,Any,passing,Passing,passingFirstDowns,Passing 1st downs,FIRST,173,173,10,10,23,Tied-23rd
0,All Splits,Any,passing,Passing,passingFumbles,Passing Fumbles,FUM,10,10,,,12,Tied-12th
0,All Splits,Any,passing,Passing,passingFumblesLost,Passing Fumbles Lost,FL,4,4,,,19,Tied-19th
