team,against,turnover,turnover_against,win,type
chiefs,bears,2,2,0,preseason
chiefs,lions,1,3,0,preseason
chiefs,jaguars,0,0,0,preseason
chiefs,broncos,0,0,0,season
chiefs,steelers,0,2,1,season
chiefs,texans,0,2,1,season
chiefs,browns,0,6,1,season
chiefs,chargers,0,0,1,season
chiefs,raiders,0,1,1,season
chiefs,panthers,0,0,1,season
chiefs,bills,2,1,0,season
chiefs,broncos,0,0,1,season
chiefs,bucaneers,1,0,1,season
chiefs,raiders,1,1,1,season
chiefs,49ers,2,3,1,season
49ers,raiders,2,2,2,preseason
49ers,saints,0,1,1,preseason
49ers,titans,1,1,0,preseason
49ers,cardinals,3,0,0,season
49ers,lions,2,0,0,season
49ers,dolphins,1,0,0,season
49ers,rams,1,0,0,season
49ers,bears,1,1,1,season
49ers,bills,3,0,0,season
49ers,packers,3,0,0,season
49ers,seahawks,1,1,0,season
49ers,buccaneers,1,0,1,season
49ers,cowboys,0,2,1,season
49ers,chiefs,3,2,0,season
49ers,seahawks,0,3,1,season
49ers,cardinals,3,1,0,season
49ers,patriots,2,3,1,season
49ers,rams,1,0,0,season
49ers,vikings,2,2,0,season
49ers,jets,0,2,1,season
