Team,Opponent,Points Scored,OppYA
49ers,New York Jets,17,19
49ers,Minnesota,24,23
49ers,Los Angeles Rams,30,27
49ers,New England Patriots,23,13
49ers,Arizona Cardinals,36,24
49ers,Seattle Seahawks,18,24
49ers,Kansas City Chiefs,30,28
49ers,Dallas Cowboys,23,28
49ers,Tampa Bay Buccaneers,23,24
49ers,Seattle Seahawks,17,20
49ers,Green Bay Packs,10,38
49ers,Buffalo Bills,10,35
49ers,Chicago Bears,38,13
49ers,Los Angeles Rams,6,12
49ers,Miami Dolphins,17,29
49ers,Detroit Lions,34,40
49ers,Arizona Cardinals,24,47
Chiefs,Baltimore Ravens,27,20
Chiefs,Cincinnati Bengals,26,25
Chiefs,Atlanta Falons,22,17
Chiefs,Los Angeles Chargers,17,10
Chiefs,New Orleans Saints,26,13
Chiefs,San Francisco 49ers,28,18
Chiefs,Las Vegas Raiders,27,20
Chiefs,Tampa Bay Buccaneers,30,24
Chiefs,Denver Broncos,16,14
Chiefs,Buffalo Bills,21,30
Chiefs,Carolina Panthers,30,27
Chiefs,Las Vegas Raiders,19,17
Chiefs,Los Angeles Chargers,19,17
Chiefs,Cleveland Browns,21,7
Chiefs,Houston Texans,27,19
Chiefs,Pittsburgh Steelers,29,10
Chiefs,Denver Broncos,0,38


