Team,Points,Opponent Points
Chiefs,20,21
Chiefs,17,9
Chiefs,41,10
Chiefs,23,20
Chiefs,27,20
Chiefs,19,8
Chiefs,31,17
Chiefs,9,24
Chiefs,21,14
Chiefs,17,21
Chiefs,31,17
Chiefs,19,27
Chiefs,17,20
Chiefs,27,17
Chiefs,14,20
Chiefs,25,17
Chiefs,13,12
Chiefs,26,7
Chiefs,27,24
Chiefs,17,10
Chiefs,25,22
49ers,30,7
49ers,30,23
49ers,30,12
49ers,35,16
49ers,42,10
49ers,17,19
49ers,17,22
49ers,17,31
49ers,34,3
49ers,27,14
49ers,31,13
49ers,42,19
49ers,28,16
49ers,45,29
49ers,19,33
49ers,27,10
49ers,20,21
49ers,24,21
49ers,34,31
49ers,22,25
