Week, Team, Opp,TotYd,TotYd
1,Kansas City Chiefs,Detroit Lions,316,368
2,Kansas City Chiefs,Jacksonville Jaguars,399,271
3,Kansas City Chiefs,Chicago Bears,456,203
4,Kansas City Chiefs,New York Jets,401,336
5,Kansas City Chiefs,Minnesota Vikings,333,329
6,Kansas City Chiefs,Denver Broncos,389,197
7,Kansas City Chiefs,Los Angeles Chargers,483,358
8,Kansas City Chiefs,Denver Broncos,274,240
9,Kansas City Chiefs,Miami Dolphins,267,292
10,Kansas City Chiefs,Bye Week,,
11,Kansas City Chiefs,Philadelphia Eagles,336,238
12,Kansas City Chiefs,Las Vegas Raiders,360,358
13,Kansas City Chiefs,Green Bay Packers,337,382
14,Kansas City Chiefs,Buffalo Bills,346,327
15,Kansas City Chiefs,New England Patriots,326,206
16,Kansas City Chiefs,Las Vegas Raiders,308,205
17,Kansas City Chiefs,Cincinnati Bengals,373,263
18,Kansas City Chiefs,Los Angeles Chargers,268,353
1,Philadelphia Eagles,New England Patriots,251,382
2,Philadelphia Eagles,Minnesota Vikings,430,374
3,Philadelphia Eagles,Tampa Bay Buccaneers,472,174
4,Philadelphia Eagles,Washington Commanders,415,365
5,Philadelphia Eagles,Los Angeles Rams,454,249
6,Philadelphia Eagles,New York Jets,348,244
7,Philadelphia Eagles,Miami Dolphins,355,244
8,Philadelphia Eagles,Washington Commanders,374,472
9,Philadelphia Eagles,Dallas Cowboys,292,406
10,Philadelphia Eagles,Bye Week,,
11,Philadelphia Eagles,Kansas City Chiefs,238,336
12,Philadelphia Eagles,Buffalo Bills,378,505
13,Philadelphia Eagles,San Francisco 49ers,333,456
14,Philadelphia Eagles,Dallas Cowboys,324,394
15,Philadelphia Eagles,Seattle Seahawks,321,297
16,Philadelphia Eagles,New York Giants,465,292
17,Philadelphia Eagles,Arizona Cardinals,275,449
18,Philadelphia Eagles,New York Giants,299,415
