,team,opposing team,total yards gained by rushing,opponent avg. rushing yards
1,Cheifs,Detroit Lions,90,134.3
2,Cheifs,Jacksonville Jaguars,101,96.8
3,Cheifs,Chicago Bears,153,141.1
4,Cheifs,New York Jets,204,96.9
5,Cheifs,Minnesota Vikings,67,91.4
6,Cheifs,Denver Broncos,96,106.5
7,Cheifs,Los Angeles Chargers,68,96.6
8,Cheifs,Denver Broncos,62,106.5
9,Cheifs,Miami Dolphins,93,132.4
,,,,
11,Cheifs,Philadelphia Eagles,168,124
12,Cheifs,Las Vegas Raiders,69,90.7
13,Cheifs,Green Bay Packers,148,114.9
14,Cheifs,Buffalo Bills,82,135.4
15,Cheifs,New England Patriots,43,95.7
16,Cheifs,Las Vegas Raiders,85,90.7
17,Cheifs,Cincinnati Bengals,132,89.8
18,Cheifs,Los Angeles Chargers,123,96.6
19,Cheifs,,,
20,Cheifs,Miami Dolphins,147,132.4
21,Cheifs,Buffalo Bills,146,135.4
22,Cheifs,Baltimore Ravens,89,156.4
23,Cheifs,San Francisco 49ers,13,138.3
24,49ers,Pittsburgh Steelers,188,117.6
25,49ers,Los Angeles Rams,159,117.4
26,49ers,New York Giants,141,110.2
27,49ers,Arizona Cardinals,124,139.1
28,49ers,Dallas Cowboys,170,113.5
29,49ers,Cleveland Browns,108,115.2
30,49ers,Minnesota Vikings,65,91.4
31,49ers,Cincinnati Bengals,113,89.8
,,,,
33,49ers,Jacksonville Jaguars,144,96.8
34,49ers,Tampa Bay Buccaneers,115,90.4
35,49ers,Seattle Seahawks,169,92.9
36,49ers,Philadelphia Eagles,146,124
37,49ers,Seattle Seahawks,173,92.9
38,49ers,Arizona Cardinals,144,139.1
39,49ers,Baltimore Ravens,121,156.4
40,49ers,Washington Commanders,184,93.6
41,49ers,Los Angeles Rams,125,117.4
42,,,,
43,Green Bay Packers,Green Bay Packers,111,114.9
44,Detroit Lions,Detroit Lions,155,134.3
45,Kansas City Chiefs,Kansas City Chiefs,110,109.3
