Team Name,Opponent Name,PF,PA
Kansas City Chiefs,Baltimore,27,20
Kansas City Chiefs,Cincinatti,26,25
Kansas City Chiefs,Atlanta,22,17
Kansas City Chiefs,Los Angeles ,17,10
Kansas City Chiefs,New Orleans,26,13
Kansas City Chiefs,San Francisco,28,18
Kansas City Chiefs,Las Vegas,27,20
Kansas City Chiefs,Tampa Bay,30,24
Kansas City Chiefs,Denver,16,14
Kansas City Chiefs,Buffalo,21,30
Kansas City Chiefs,Carolina,30,27
Kansas City Chiefs,Las Vegas,19,17
Kansas City Chiefs,Los Angeles ,19,17
Kansas City Chiefs,Cleveland,21,7
Kansas City Chiefs,Houston,27,19
Kansas City Chiefs,Pittsburgh,29,10
Kansas City Chiefs,Denver,0,38
Philadelphia Eagles,Green Bay,34,29
Philadelphia Eagles,Atlanta,21,22
Philadelphia Eagles,New Orleans,15,12
Philadelphia Eagles,Tampa Bay,16,33
Philadelphia Eagles,Cleveland,20,16
Philadelphia Eagles,New York,28,3
Philadelphia Eagles,Cincinatti,37,17
Philadelphia Eagles,Jacksonville,28,23
Philadelphia Eagles,Dallas,34,6
Philadelphia Eagles,Washington,26,18
Philadelphia Eagles,Los Angeles ,37,20
Philadelphia Eagles,Baltimore,24,19
Philadelphia Eagles,Carolina,22,16
Philadelphia Eagles,Pittsburgh,27,13
Philadelphia Eagles,Washington,33,36
Philadelphia Eagles,Dallas,41,7
Philadelphia Eagles,New York,20,13
