,Total Yards,Total Yards Allowed,,
Chiefs,20,395,,
Chiefs,389,364,,
Chiefs,375,311,,
Chiefs,311,266,,
Chiefs,298,288,,
Chiefs,329,434,,
Chiefs,391,334,,
Chiefs,259,366,,
Chiefs,300,260,,
Chiefs,384,284,,
Chiefs,334,228,,
Chiefs,329,310,,
Chiefs,460,220,,
Chiefs,329,224,,
Chiefs,345,311,,
Chiefs,286,320,,
Chiefs,353,452,,
49ers,436,393,,
49ers,475,439,,
49ers,374,381,,
49ers,191,302,,
49ers,452,162,,
49ers,239,372,,
49ers,241,325,,
49ers,277,289,,
49ers,413,215,,
49ers,469,292,,
49ers,310,329,,
49ers,483,358,,
49ers,384,358,,
49ers,431,216,,
49ers,425,296,,
49ers,396,403,,
49ers,401,266,,
