Scored,Lost,Team
22,10,Eagles
28,22,Eagles
55,23,Eagles
34,29,Eagles
22,21,Eagles
15,12,Eagles
33,16,Eagles
20,16,Eagles
28,3,Eagles
37,17,Eagles
28,23,Eagles
34,6,Eagles
26,18,Eagles
37,20,Eagles
24,19,Eagles
22,16,Eagles
27,13,Eagles
36,33,Eagles
41,7,Eagles
20,13,Eagles
16,13,Eagles
14,13,Eagles
26,3,Eagles
23,14,Chiefs
32,29,Chiefs
27,20,Chiefs
26,25,Chiefs
22,17,Chiefs
17,10,Chiefs
26,13,Chiefs
28,18,Chiefs
27,20,Chiefs
30,24,Chiefs
16,14,Chiefs
30,21,Chiefs
30,27,Chiefs
19,17,Chiefs
19,17,Chiefs
21,7,Chiefs
27,19,Chiefs
29,10,Chiefs
38,0,Chiefs
26,13,Chiefs
24,23,Chiefs
34,21,Chiefs
